Id,SalePrice
1461,106959.86922384938
1462,168811.8374585805
1463,181049.7616616469
1464,203225.79944256577
1465,202501.22227482917
1466,182719.96066411329
1467,194372.20549111394
1468,173135.07566476706
1469,206331.97044866858
1470,111295.70842454
1471,216879.95211759885
1472,137148.69541456737
1473,118147.76414603926
1474,173146.3826167616
1475,130528.61623580987
1476,312965.5557730803
1477,249121.30115286424
1478,298337.86522636143
1479,270728.4287224568
1480,406159.3600024348
1481,296659.08344463864
1482,227882.671411142
1483,175130.0580384836
1484,185057.28759554145
1485,194454.35548460437
1486,209821.52374026482
1487,280993.3327615699
1488,256727.2243833691
1489,184188.022393896
1490,212076.4384558911
1491,206846.63522380637
1492,91619.8016556392
1493,205632.7760394679
1494,287907.35140427505
1495,291692.86432487005
1496,232652.91437364346
1497,186676.26101596374
1498,175048.74078924628
1499,173118.50370323006
1500,162642.75577076362
1501,206336.18975019176
1502,165808.02077754308
1503,263382.7128117841
1504,245881.71216881718
1505,229041.11289106891
1506,199621.99626916787
1507,249435.23785175313
1508,199204.93059934094
1509,166834.26458172873
1510,148549.93807924492
1511,148420.43985579675
1512,172166.3562131836
1513,163160.41430932353
1514,181287.76794790756
1515,220004.42397342948
1516,168862.94444346428
1517,177161.60725646024
1518,153502.0928492064
1519,246796.49155307165
1520,128055.77784538083
1521,131844.9625529854
1522,199512.56805376988
1523,87518.82385266572
1524,99380.40643574344
1525,107919.53061772627
1526,106628.64408326126
1527,87103.0988720369
1528,155250.56991104432
1529,135284.29990408872
1530,211803.4548325024
1531,145467.9920574415
1532,86789.62000478036
1533,137703.98835872416
1534,134803.91947528115
1535,161369.21066859527
1536,106113.64304543007
1537,49837.331362371566
1538,182738.32711769664
1539,207204.61091435724
1540,132945.98907748517
1541,153846.7748111114
1542,149830.69687109184
1543,207368.44650780712
1544,62938.92446130188
1545,115372.55882621696
1546,142934.13977559772
1547,139162.74676841614
1548,137160.62413044018
1549,119551.24170423136
1550,140561.0757314628
1551,135036.9175506148
1552,137372.00085006864
1553,140366.93021827866
1554,129117.60618727887
1555,169395.60962517024
1556,93884.71850163653
1557,109812.66117973928
1558,106695.88037971617
1559,85871.44134158734
1560,148693.21923690662
